ablation,benchmark_task,joint_success_strict,joint_success_sketchmol_tolerance,exact_train_hit_rate,direct_train_decoder_fraction,source_aware_edit_decoder_fraction,mmp_fragment_decoder_fraction,mmp_two_step_fragment_decoder_fraction,sampled_nearest_train_tanimoto,sampled_novelty_at_tanimoto_0_90,novelty,uniqueness,druglike_rate,benchmark_label,structure_prompt_success_rate,property_success_strict_in_valid_mols,property_success_sketchmol_tolerance_in_valid_mols,fragment_growth_success_rate,optimization_delta_success_rate,prompt_candidate_similarity,mmp_target_decoder_fraction,n,validity,mean_pairwise_tanimoto,sampled_nearest_train_tanimoto_ge_0_90
main,scaffold_prompt,0.4680555555555555,0.8286616161616162,0.0004419191919191,0.0,1.0,0.9474747474747476,0.3181818181818182,0.2882107665819442,1.0,0.9994098305370542,0.7488005050505051,0.9527777777777776,scaffold_prompt,1.0,0.4680555555555555,0.8286616161616162,1.0,1.0,0.5097089184970689,0.0,15840.0,1.0,0.1272251575744697,0.0
main,fragment_prompt,0.4433297180043384,0.8231426247288504,0.0004745119305856,0.0,1.0,1.0,0.893777114967462,0.2613342270554057,1.0,0.9998076923076924,0.7049891540130152,1.0,fragment_prompt,1.0,0.4433297180043384,0.8231426247288504,1.0,1.0,0.0971822674790126,0.0,14752.0,1.0,0.1230758043513392,0.0
main,local_optimization_prompt,0.312813126252505,0.500250501002004,0.001440380761523,0.0,1.0,0.9774757849031396,0.3874832999331997,0.2900257408638592,1.0,0.9996425554039124,0.6424098196392786,0.9543670674682698,local_optimization_prompt,1.0,0.3258809285237141,0.5659235136940548,1.0,0.5091015364061456,0.5017250568296154,0.0,47904.0,1.0,0.126682814380467,0.0
full,scaffold_prompt,0.4680555555555555,0.8286616161616162,0.0004419191919191,0.0,1.0,0.9474747474747476,0.3181818181818182,0.2882107665819442,1.0,0.9994098305370542,0.7488005050505051,0.9527777777777776,scaffold_prompt,1.0,0.4680555555555555,0.8286616161616162,1.0,1.0,0.5097089184970689,0.0,15840.0,1.0,0.1272251575744697,0.0
full,fragment_prompt,0.4433297180043384,0.8231426247288504,0.0004745119305856,0.0,1.0,1.0,0.893777114967462,0.2613342270554057,1.0,0.9998076923076924,0.7049891540130152,1.0,fragment_prompt,1.0,0.4433297180043384,0.8231426247288504,1.0,1.0,0.0971822674790126,0.0,14752.0,1.0,0.1230758043513392,0.0
full,local_optimization_prompt,0.312813126252505,0.5002713760855043,0.001440380761523,0.0,1.0,0.9774757849031396,0.3874832999331997,0.2900257408638592,1.0,0.9996425554039124,0.6424098196392786,0.9543670674682698,local_optimization_prompt,1.0,0.3258809285237141,0.5659235136940548,1.0,0.509122411489646,0.5017250568296154,0.0,47904.0,1.0,0.126682814380467,0.0
no_condition_guided,scaffold_prompt,0.4680555555555555,0.8286616161616162,0.0004419191919191,0.0,1.0,0.9474747474747476,0.3181818181818182,0.2882107665819442,1.0,0.9994098305370542,0.7488005050505051,0.9527777777777776,scaffold_prompt,1.0,0.4680555555555555,0.8286616161616162,1.0,1.0,0.5097089184970689,0.0,15840.0,1.0,0.1272251575744697,0.0
no_condition_guided,fragment_prompt,0.4433297180043384,0.8231426247288504,0.0004745119305856,0.0,1.0,1.0,0.893777114967462,0.2613342270554057,1.0,0.9998076923076924,0.7049891540130152,1.0,fragment_prompt,1.0,0.4433297180043384,0.8231426247288504,1.0,1.0,0.0971822674790126,0.0,14752.0,1.0,0.1230758043513392,0.0
no_condition_guided,local_optimization_prompt,0.312813126252505,0.5002713760855043,0.001440380761523,0.0,1.0,0.9774757849031396,0.3874832999331997,0.2900257408638592,1.0,0.9996425554039124,0.6424098196392786,0.9543670674682698,local_optimization_prompt,1.0,0.3258809285237141,0.5659235136940548,1.0,0.509122411489646,0.5017250568296154,0.0,47904.0,1.0,0.126682814380467,0.0
no_two_step,scaffold_prompt,0.3647095959595959,0.7650252525252526,0.0010732323232323,0.0,1.0,0.9434343434343434,0.0,0.3037092362364755,1.0,0.9990596200865148,0.6713383838383838,0.9525883838383838,scaffold_prompt,1.0,0.3647095959595959,0.7650252525252526,1.0,1.0,0.5325482427843361,0.0,15840.0,1.0,0.1270495786808983,0.0
no_two_step,fragment_prompt,0.0751084598698481,0.3400894793926247,0.0029826464208242,0.0,1.0,1.0,0.0,0.2567483407884579,1.0,0.9981338309784058,0.2542706073752711,1.0,fragment_prompt,1.0,0.0751084598698481,0.3400894793926247,1.0,1.0,0.1325133751717532,0.0,14752.0,1.0,0.0982538168628643,0.0
no_two_step,local_optimization_prompt,0.2942343019372077,0.4893537074148296,0.0015865063460253,0.0,1.0,0.9763902805611222,0.0,0.2967960391432497,1.0,0.9994661582459484,0.5474490647962592,0.9543670674682698,local_optimization_prompt,1.0,0.3149215096860387,0.5568846025384101,1.0,0.5039662658650634,0.529804533621413,0.0,47904.0,1.0,0.1241118484397652,0.0
pair_only,scaffold_prompt,0.2847853535353535,0.5315025252525253,0.0388257575757575,0.0218434343434343,0.9204545454545454,0.0,0.0,0.3567386461014343,0.94140625,0.954228855721393,0.1268939393939394,0.95239898989899,scaffold_prompt,0.9399621212121212,0.288510101010101,0.546780303030303,1.0,1.0,0.5931115628613344,0.0210858585858585,15840.0,1.0,0.1274670248364512,0.05859375
pair_only,fragment_prompt,0.0139642082429501,0.063245661605206,0.1790943600867679,6.778741865509762e-05,0.9999322125813448,0.0,0.0,0.2475989988034463,0.9765625,0.9767441860465116,0.0233188720173535,1.0,fragment_prompt,1.0,0.0139642082429501,0.063245661605206,1.0,1.0,0.1991149930763212,6.778741865509762e-05,14752.0,1.0,0.103718894449267,0.0234375
pair_only,local_optimization_prompt,0.2141783567134268,0.3576319305277221,0.0491608216432865,0.0194555778223112,0.9074607548430194,0.0,0.0,0.3386344557827081,0.96484375,0.9585852478839176,0.0690547762191048,0.9458291583166332,local_optimization_prompt,0.926310955243821,0.2607924181696727,0.4694806279225117,1.0,0.4294630928523714,0.6006872549533985,0.0187040748162992,47904.0,1.0,0.1301081154878934,0.03515625
